scenario;cold;warm;sources-changed;reqs-changed;dev-reqs-changed
01-simple;21.328;0.454;1.658;1.660;1.803
02-simple-slim;9.971;0.436;1.595;1.588;1.952
03-multistage;20.443;0.655;1.313;1.357;1.352
04-no-root;21.172;0.692;1.397;1.445;1.465
05-final;19.468;0.656;0.454;1.453;1.317
06-final-slim-build;10.553;0.646;0.462;1.438;1.343
01-simple;19.467;0.453;1.590;1.632;1.763
02-simple-slim;10.466;0.437;1.639;1.640;1.857
03-multistage;19.574;0.805;1.319;1.310;1.338
04-no-root;19.413;0.663;1.385;1.498;1.459
05-final;19.851;0.671;0.464;1.497;1.302
06-final-slim-build;9.934;0.668;0.475;1.426;1.314
01-simple;21.432;0.421;1.573;1.577;1.930
02-simple-slim;10.288;0.446;2.463;1.613;1.742
03-multistage;21.411;0.632;1.300;1.335;1.347
04-no-root;21.564;0.670;1.411;1.417;1.450
05-final;21.775;0.688;0.441;1.406;1.286
06-final-slim-build;10.233;0.639;0.457;1.422;1.326
01-simple;19.978;0.492;1.641;1.620;1.870
02-simple-slim;10.361;0.435;1.817;1.610;1.794
03-multistage;20.522;0.638;1.278;1.398;1.406
04-no-root;21.845;0.652;1.366;1.447;1.487
05-final;20.578;0.689;0.541;1.428;1.321
06-final-slim-build;10.146;0.640;0.454;1.448;1.669
01-simple;20.106;0.436;1.650;1.622;1.789
02-simple-slim;10.243;0.431;1.604;1.624;1.834
03-multistage;21.652;0.663;1.234;1.300;1.337
04-no-root;21.169;0.601;1.360;1.503;1.460
05-final;21.055;0.800;0.456;1.439;1.333
06-final-slim-build;10.316;0.460;0.482;1.445;1.282
01-simple;19.797;0.420;1.605;1.625;1.822
02-simple-slim;11.008;0.675;1.639;1.615;1.782
03-multistage;22.684;0.681;1.262;1.311;1.363
04-no-root;22.053;0.677;1.458;1.788;1.487
05-final;21.131;0.687;0.470;1.432;1.383
06-final-slim-build;10.181;0.435;0.453;1.453;1.303
01-simple;22.302;0.692;1.642;1.696;2.284
02-simple-slim;10.792;0.414;1.606;1.667;1.848
03-multistage;21.122;0.731;1.226;1.285;1.331
04-no-root;20.420;0.654;1.426;1.410;1.440
05-final;20.080;0.826;0.459;1.517;1.277
06-final-slim-build;10.253;0.648;0.460;1.424;1.310
01-simple;19.897;0.657;1.596;1.598;1.811
02-simple-slim;10.206;0.422;1.584;1.622;1.940
03-multistage;20.992;0.666;1.269;1.301;1.355
04-no-root;20.887;0.656;1.378;1.439;1.431
05-final;20.596;0.665;0.451;1.457;1.326
06-final-slim-build;10.410;0.658;0.443;1.436;1.304
